ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
AACI,True,False,"free_cash_flow, revenue, fcf_margin",sec_companyfacts; sec_filing_document,2026-06-30T00:00:00+00:00
ACIC,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
AMD,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
AVGO,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
MU,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
NVDA,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
QQQ,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-30T00:00:00+00:00
SMH,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-30T00:00:00+00:00
SNDK,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
SPY,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-30T00:00:00+00:00
WDC,True,True,,sec_companyfacts,2026-06-30T00:00:00+00:00
