ticker,name,asset_type,exchange,price_rows,first_price_date,last_price_date,has_recent_price,price_ready,momentum_ready,risk_ready,missing_price_reason,next_action,updated_at
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,company,NASDAQ,65,2026-03-27,2026-06-30,False,True,True,True,,,2026-06-30T00:00:00+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,company,NASDAQ,616,2023-12-11,2026-05-27,False,True,True,True,,,2026-06-30T00:00:00+00:00
AMD,,company,,616,2023-12-07,2026-05-22,False,True,True,True,,,2026-06-30T00:00:00+00:00
AVGO,,company,,616,2023-12-07,2026-05-22,False,True,True,True,,,2026-06-30T00:00:00+00:00
MU,,company,,616,2023-12-07,2026-05-22,False,True,True,True,,,2026-06-30T00:00:00+00:00
NVDA,,company,,621,2023-12-07,2026-05-22,False,True,True,True,,,2026-06-30T00:00:00+00:00
QQQ,,etf,,25,2026-02-10,2026-03-14,False,True,True,False,,,2026-06-30T00:00:00+00:00
SMH,,etf,,616,2023-12-07,2026-05-22,False,True,True,True,,,2026-06-30T00:00:00+00:00
SNDK,Sandisk,company,NASDAQ,343,2025-02-13,2026-06-26,False,True,True,True,,,2026-06-30T00:00:00+00:00
SPY,,index_proxy,,25,2026-02-10,2026-03-14,False,True,True,False,,,2026-06-30T00:00:00+00:00
WDC,Western Digital,company,NASDAQ,619,2024-01-08,2026-06-26,False,True,True,True,,,2026-06-30T00:00:00+00:00
