ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"peer, earnings, analyst_estimates","dcf, portfolio",peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add at least 2 source-backed peer mappings for AACI in data/imports/peers.csv. Then run make imports-validate IMPORT_TICKERS=AACI, make imports-preview IMPORT_TICKERS=AACI, and make imports-apply IMPORT_TICKERS=AACI after scope review.",2026-06-30T00:00:00+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals",,"peer, earnings, analyst_estimates","dcf, portfolio",peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add at least 2 source-backed peer mappings for ACIC in data/imports/peers.csv. Then run make imports-validate IMPORT_TICKERS=ACIC, make imports-preview IMPORT_TICKERS=ACIC, and make imports-apply IMPORT_TICKERS=ACIC after scope review.",2026-06-30T00:00:00+00:00
AMD,,,company,SMH,,AI Semiconductors,True,True,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for AMD; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
AVGO,,,company,SMH,,AI Semiconductors,True,True,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for AVGO; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
MU,,,company,SMH,,Memory Semiconductors,True,True,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for MU; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
NVDA,,,company,SMH,,AI Semiconductors,True,True,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for NVDA; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
QQQ,,,etf,QQQ,,Nasdaq 100 ETF,True,True,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation","fundamentals, earnings, analyst_estimates","dcf, peer, portfolio",earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for QQQ; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
SMH,,,etf,SMH,,Semiconductor ETF,True,True,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",,"fundamentals, earnings, analyst_estimates","dcf, peer, portfolio",earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for SMH; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
SNDK,Sandisk,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for SNDK; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
SPY,,,index_proxy,,,,True,False,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation","fundamentals, earnings, analyst_estimates","dcf, peer, portfolio",earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for SPY; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
WDC,Western Digital,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for WDC; leave unavailable unless trusted local CSVs exist.,2026-06-30T00:00:00+00:00
