ticker,name,exchange,asset_type,sector,industry,in_active_universe,metadata_ready,missing_metadata,source,updated_at
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-06-30T00:00:00+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-06-30T00:00:00+00:00
AMD,,,company,SMH,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
AVGO,,,company,SMH,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
MU,,,company,SMH,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
NVDA,,,company,SMH,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
QQQ,,,etf,QQQ,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
SMH,,,etf,SMH,,True,True,,legacy_universe_csv,2026-06-30T00:00:00+00:00
SNDK,Sandisk,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-06-30T00:00:00+00:00
WDC,Western Digital,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-06-30T00:00:00+00:00
SPY,,,index_proxy,,,False,True,,demo_profile_price_history,2026-06-30T00:00:00+00:00
