ticker,theme,sector_etf,default_purpose,market_cap_bucket,notes,company_name,universe_source,source_detail,index_membership,etf_membership,exchange,is_etf,as_of_date,in_local_sample,in_sp500,in_nasdaq,in_smh,in_holdings,in_custom
AACI,Unclassified,,Core Compounder,Unknown,Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,Armada Acquisition Corp. III - Class A Ordinary Share,nasdaq,,Nasdaq-listed,,NASDAQ,False,,False,False,True,False,False,False
ACIC,Unclassified,,Core Compounder,Unknown,Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,American Coastal Insurance Corporation - Common Stock,nasdaq,,Nasdaq-listed,,NASDAQ,False,,False,False,True,False,False,False
AMD,AI Semiconductors,SMH,Core Compounder,Large,Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the SMH holdings source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,"Advanced Micro Devices, Inc.","sp500, nasdaq, smh",Information Technology | SMH weight: 5.58%,"S&P 500, Nasdaq-listed",SMH,NASDAQ,False,,False,True,True,True,False,False
AVGO,AI Semiconductors,SMH,Core Compounder,Large,Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the SMH holdings source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,Broadcom Inc.,"sp500, nasdaq, smh",Information Technology | SMH weight: 5.61%,"S&P 500, Nasdaq-listed",SMH,NASDAQ,False,,False,True,True,True,False,False
MU,Memory Semiconductors,SMH,Core Compounder,Large,Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the SMH holdings source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,"Micron Technology, Inc.","sp500, nasdaq, smh",Information Technology | SMH weight: 5.34%,"S&P 500, Nasdaq-listed",SMH,NASDAQ,False,,False,True,True,True,False,False
NVDA,AI Semiconductors,SMH,Momentum Leader,Large,Added from holdings.csv. | Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the SMH holdings source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,NVIDIA Corporation,"holdings, sp500, nasdaq, smh",Information Technology | SMH weight: 19.01%,"S&P 500, Nasdaq-listed",SMH,NASDAQ,False,,False,True,True,True,True,False
QQQ,Nasdaq 100 ETF,QQQ,ETF / Defensive / Hedge,ETF,,,,,,,,False,,False,False,False,False,False,False
SMH,Semiconductor ETF,SMH,ETF / Defensive / Hedge,ETF,,,,,,,,False,,False,False,False,False,False,False
SNDK,Unclassified,,Core Compounder,Unknown,Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,Sandisk,"sp500, nasdaq",Information Technology,"S&P 500, Nasdaq-listed",,NASDAQ,False,,False,True,True,False,False,False
WDC,Unclassified,,Core Compounder,Unknown,Theme and sector ETF metadata were not provided by the constituent source. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs. | Theme and sector ETF metadata were not provided by the Nasdaq directory. Default purpose was assigned conservatively for universe compatibility; review before relying on purpose-based outputs.,Western Digital,"sp500, nasdaq",Information Technology,"S&P 500, Nasdaq-listed",,NASDAQ,False,,False,True,True,False,False,False
SPY,Benchmark context,ETF / Index,ETF / Defensive / Hedge,ETF,,,demo_profile_price_history,Price-backed benchmark metadata only; not operating-company analysis input.,,,,False,2026-06-30,,,,,,
