ticker,name,exchange,asset_type,security_type,sector,industry,country,currency,is_active_listing,source,source_updated_at,created_at,updated_at
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,,US,USD,True,nasdaq,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,company,,,,US,USD,True,nasdaq,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
AMD,,,company,,SMH,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
AVGO,,,company,,SMH,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
MU,,,company,,SMH,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
NVDA,,,company,,SMH,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
QQQ,,,etf,,QQQ,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
SMH,,,etf,,SMH,,US,USD,True,legacy_universe_csv,,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
SNDK,Sandisk,NASDAQ,company,,,,US,USD,True,"sp500, nasdaq",,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
WDC,Western Digital,NASDAQ,company,,,,US,USD,True,"sp500, nasdaq",,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
SPY,,,index_proxy,benchmark_context,,,US,USD,True,demo_profile_price_history,2026-06-30,2026-06-30T00:00:00+00:00,2026-06-30T00:00:00+00:00
