ticker,has_fundamentals,fundamentals_ready,missing_fundamentals_fields,source,updated_at
A,True,True,,sec_companyfacts,2026-06-07T03:00:27.688197+00:00
AACB,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-06-07T03:00:27.688834+00:00
AACI,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-06-07T03:00:27.689404+00:00
AACO,True,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-06-07T03:00:27.689952+00:00
AAL,True,True,,sec_companyfacts,2026-06-07T03:00:27.690475+00:00
AAME,True,True,,sec_companyfacts,2026-06-07T03:00:27.690990+00:00
AAOI,True,True,,sec_companyfacts,2026-06-07T03:00:27.691509+00:00
AAON,True,True,,sec_companyfacts,2026-06-07T03:00:27.692028+00:00
AAPG,True,False,"free_cash_flow, revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.692569+00:00
AAPL,True,True,,sec_companyfacts,2026-06-07T03:00:27.693086+00:00
AARD,True,False,"revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.693603+00:00
ABAT,True,False,fcf_margin,sec_companyfacts,2026-06-07T03:00:27.694119+00:00
ABBV,True,True,,sec_companyfacts,2026-06-07T03:00:27.694862+00:00
ABCL,True,False,"revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.695914+00:00
ABEO,True,True,,sec_companyfacts,2026-06-07T03:00:27.696501+00:00
ABLV,True,False,shares_outstanding,sec_companyfacts,2026-06-07T03:00:27.697019+00:00
ABNB,True,False,"revenue, fcf_margin, shares_outstanding",sec_companyfacts,2026-06-07T03:00:27.697535+00:00
ABOS,True,False,"revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.698055+00:00
ABSI,True,True,,sec_companyfacts,2026-06-07T03:00:27.698568+00:00
ABT,True,True,,sec_companyfacts,2026-06-07T03:00:27.699086+00:00
ABTC,True,True,,sec_companyfacts,2026-06-07T03:00:27.699601+00:00
ABTS,True,False,"revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.700122+00:00
ABUS,True,True,,sec_companyfacts,2026-06-07T03:00:27.700644+00:00
ABVC,True,True,,sec_companyfacts,2026-06-07T03:00:27.701163+00:00
ABVE,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.701531+00:00
ACAA,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.701883+00:00
ACAD,True,True,,sec_companyfacts,2026-06-07T03:00:27.702404+00:00
ACB,True,False,"free_cash_flow, revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.703093+00:00
ACCL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.703487+00:00
ACDC,True,False,"revenue, fcf_margin",sec_companyfacts,2026-06-07T03:00:27.704027+00:00
ACET,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.704389+00:00
ACFN,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.705065+00:00
ACGL,False,False,"free_cash_flow, revenue, fcf_margin, shares_outstanding",,2026-06-07T03:00:27.705691+00:00
