priority,ticker,peer_blocker_type,unlock_stage,workflow_group,workflow_scope,next_action_summary,peer_trend_status,peer_valuation_status,peer_count,ready_peer_count,peer_price_ready_count,peer_momentum_ready_count,peer_fundamentals_ready_count,peer_valuation_ready_count,sample_peers,missing_peer_reason,next_peer_action,next_input_file,validation_sequence,focus_command,example_command,copy_only_note,updated_at
1,AAPL,peer_fundamentals_missing,add_peer_fundamentals,peer_valuation_unlock,master_universe,Add trusted peer fundamentals before showing peer valuation conclusions.,peer_trend_possible,peer_valuation_blocked,3,2,2,2,1,1,"AMZN, GOOG, MSFT",peer trend comparison ready; peer valuation still requires peer_valuation_ready,"Import trusted fundamentals for mapped peers: AMZN, GOOG.",data/imports/fundamentals.csv or data/staged/fundamentals/,make focus-fundamentals TICKER=<peer> -> make sec-stage TICKERS=<peer> or prepare trusted fundamentals import draft rows -> make imports-validate,make focus-peers TICKER=AAPL,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322199+00:00
1,MSFT,peer_fundamentals_missing,add_peer_fundamentals,peer_valuation_unlock,master_universe,Add trusted peer fundamentals before showing peer valuation conclusions.,peer_trend_possible,peer_valuation_blocked,3,2,2,2,1,1,"AAPL, AMZN, GOOG",peer trend comparison ready; peer valuation still requires peer_valuation_ready,"Import trusted fundamentals for mapped peers: AMZN, GOOG.",data/imports/fundamentals.csv or data/staged/fundamentals/,make focus-fundamentals TICKER=<peer> -> make sec-stage TICKERS=<peer> or prepare trusted fundamentals import draft rows -> make imports-validate,make focus-peers TICKER=MSFT,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.509461+00:00
2,CRDO,peer_fundamentals_missing,add_peer_fundamentals,peer_valuation_unlock,active_universe,Add trusted peer fundamentals before showing peer valuation conclusions.,peer_trend_possible,peer_valuation_blocked,3,2,2,2,1,1,"ALAB, AVGO, MRVL",peer trend comparison ready; peer valuation still requires peer_valuation_ready,"Import trusted fundamentals for mapped peers: ALAB, MRVL.",data/imports/fundamentals.csv or data/staged/fundamentals/,make focus-fundamentals TICKER=<peer> -> make sec-stage TICKERS=<peer> or prepare trusted fundamentals import draft rows -> make imports-validate,make focus-peers TICKER=CRDO,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.392194+00:00
2,QQQ,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,active_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for QQQ in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=QQQ,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.553911+00:00
2,SMH,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,active_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for SMH in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=SMH,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.579843+00:00
2,AACB,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AACB in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AACB,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.321564+00:00
2,AACI,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AACI in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AACI,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.321676+00:00
2,AACO,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AACO in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AACO,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.321770+00:00
2,AAPG,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AAPG in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AAPG,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322105+00:00
2,AARD,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for AARD in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=AARD,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322308+00:00
2,ABAT,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABAT in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABAT,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322395+00:00
2,ABCL,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABCL in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABCL,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322549+00:00
2,ABLV,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABLV in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABLV,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322705+00:00
2,ABNB,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABNB in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABNB,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322791+00:00
2,ABOS,missing_peer_mapping,add_source_backed_peer_mappings,price_ready_peer_mapping,master_universe,"Add at least two trusted, source-backed peer rows; fallback sector/industry context is not trusted peer data.",peer_trend_blocked,peer_valuation_blocked,0,0,0,0,0,0,,needs at least 2 source-backed peer mappings,Add at least 2 source-backed peer mappings for ABOS in data/imports/peers.csv.,data/imports/peers.csv,make templates -> fill source-backed peers -> make imports-validate -> make imports-preview -> make imports-apply,make focus-peers TICKER=ABOS,make peer-mapping-queue TOP_N=25,Copy commands only; review import draft rows before applying local CSV changes.,2026-06-07T03:00:43.322876+00:00
