ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
A,Agilent Technologies,,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",peer,"earnings, analyst_estimates",portfolio,peers: needs at least 2 peers with momentum-ready price history; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add trusted price history for mapped peers: DHR, TMO, WAT. Run make focus-peers TICKER=A to review mapped peers, then use capped price refresh or verified OHLCV import draft rows.",2026-06-07T03:00:32.375663+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Complete trusted fundamentals for AACB; missing fields: free_cash_flow, revenue, fcf_margin, shares_outstanding. Run make focus-fundamentals TICKER=AACB, then use SEC import draft workflow or the manual fundamentals import workflow.",2026-06-07T03:00:32.379249+00:00
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,,True,False,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation, fundamentals","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Complete trusted fundamentals for AACI; missing fields: free_cash_flow, revenue, fcf_margin, shares_outstanding. Run make focus-fundamentals TICKER=AACI, then use SEC import draft workflow or the manual fundamentals import workflow.",2026-06-07T03:00:32.382707+00:00
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,company,,,,True,False,True,True,True,False,False,False,False,False,False,False,False,partial,"price, momentum, market_direction","liquidity, correlation, fundamentals","dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Complete trusted fundamentals for AACO; missing fields: free_cash_flow, revenue, fcf_margin, shares_outstanding. Run make focus-fundamentals TICKER=AACO, then use SEC import draft workflow or the manual fundamentals import workflow.",2026-06-07T03:00:32.385742+00:00
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",peer,"earnings, analyst_estimates",portfolio,peers: needs at least 2 peers with momentum-ready price history; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add trusted price history for mapped peers: DAL, LUV, UAL. Run make focus-peers TICKER=AAL to review mapped peers, then use capped price refresh or verified OHLCV import draft rows.",2026-06-07T03:00:32.388878+00:00
AAME,Atlantic American Corporation - Common Stock,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",peer,"earnings, analyst_estimates",portfolio,peers: needs at least 2 peers with momentum-ready price history; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add trusted price history for mapped peers: CINF, GL. Run make focus-peers TICKER=AAME to review mapped peers, then use capped price refresh or verified OHLCV import draft rows.",2026-06-07T03:00:32.391892+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for AAOI; leave unavailable unless trusted local CSVs exist.,2026-06-07T03:00:32.395908+00:00
AAON,"AAON, Inc. - Common Stock",NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf",peer,"earnings, analyst_estimates",portfolio,peers: needs at least 2 peers with momentum-ready price history; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,"Add trusted price history for mapped peers: CARR, JCI, TT. Run make focus-peers TICKER=AAON to review mapped peers, then use capped price refresh or verified OHLCV import draft rows.",2026-06-07T03:00:32.399279+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,company,,,,True,False,True,True,True,True,True,False,False,False,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation",fundamentals,"dcf, peer, earnings, analyst_estimates",portfolio,"dcf: free_cash_flow, revenue, fcf_margin; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input","Complete trusted fundamentals for AAPG; missing fields: free_cash_flow, revenue, fcf_margin. Run make focus-fundamentals TICKER=AAPG, then use SEC import draft workflow or the manual fundamentals import workflow.",2026-06-07T03:00:32.402789+00:00
AAPL,Apple Inc.,NASDAQ,company,,,,True,False,True,True,True,True,True,True,True,True,False,False,False,partial,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer",,"earnings, analyst_estimates",portfolio,peers: peer trend comparison ready; peer valuation still requires peer_valuation_ready; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input,Optional context missing for AAPL; leave unavailable unless trusted local CSVs exist.,2026-06-07T03:00:32.406487+00:00
