ticker,name,exchange,asset_type,sector,industry,in_active_universe,metadata_ready,missing_metadata,source,updated_at
A,Agilent Technologies,,company,,,False,True,,sp500,2026-05-28T02:44:26.319708+00:00
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319761+00:00
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319789+00:00
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319814+00:00
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319839+00:00
AAME,Atlantic American Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319863+00:00
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319887+00:00
AAON,"AAON, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319910+00:00
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319934+00:00
AAPL,Apple Inc.,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T02:44:26.319958+00:00
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.319982+00:00
ABAT,American Battery Technology Company - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320007+00:00
ABBV,AbbVie,,company,,,False,True,,sp500,2026-05-28T02:44:26.320031+00:00
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320055+00:00
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320078+00:00
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320101+00:00
ABNB,Airbnb,NASDAQ,company,,,False,True,,"sp500, nasdaq",2026-05-28T02:44:26.320123+00:00
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320146+00:00
ABSI,Absci Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320169+00:00
ABT,Abbott Laboratories,,company,,,False,True,,sp500,2026-05-28T02:44:26.320192+00:00
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320214+00:00
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320237+00:00
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320260+00:00
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,company,,,False,True,,nasdaq,2026-05-28T02:44:26.320282+00:00
